"","Exp","Ind","Proj","CBPS-just","CBPS-over","GLM"
"ks",2.89705464139236,2.67229950045596,3.40813044042939,3.93682648857106,3.70596730138433,3.23267395333755
"ks_1",2.44377445343438,2.37486841944237,2.76912204140362,3.28095419238525,3.11932059801867,2.6643618238642
"ks_0",1.41009906114869,1.32853782460501,1.34112102539251,1.72654365945955,1.29168125090334,1.21032660581394
"cvm",0.732786239646345,0.626434654685401,0.837447921439284,0.806298534154434,0.918604942898155,0.802027187229743
"cvm_1",0.644414176166957,0.534467342622757,0.740778079693573,0.696393058566244,0.809167843488965,0.710961196418285
"cvm_0",0.190090713456737,0.172184040867011,0.181202304790214,0.206123426637579,0.181932241149552,0.170899758975491
