"","glm","cbps-just","cbps-over","ind","exp","proj"
"ate-z",6049.00659407451,5997.27845978589,7906.27609488002,5480.87248806556,6588.65631728654,5394.6024942719
"ate-z.se",1823.20545414911,1810.89883059109,2485.78104249957,9452.80209413268,2200.85289931864,2792.39098420934
"att-z",7475.73770724582,7633.98916188721,8653.86315668769,4327.71342629132,8299.88118546749,7026.10632400218
"att-z.se",2473.08650811998,2543.99609947165,3160.07418386494,23237.1828912664,3069.01984604857,4195.47626878198
