"","Exp","Ind","Proj","CBPS-just","CBPS-over","GLM"
"ks",1.98035751238447,2.05267378630301,2.31484788500755,2.7558108212194,2.63202873805246,2.26336989167869
"ks_1",1.69914260589615,1.76478835837606,1.90305472330321,2.29017183889512,2.20435506373923,1.86291410994148
"ks_0",1.03449357700607,1.24210552132097,0.972547353175183,1.20790855673755,0.914494323165439,0.847367415747302
"cvm",0.509940680031207,0.446578229254412,0.572735227594302,0.564416752415387,0.650151899902495,0.561344786856817
"cvm_1",0.457061411755735,0.376279890623742,0.509498509423767,0.486782608830489,0.572456554384465,0.49760807261576
"cvm_0",0.125268047252352,0.12186485299448,0.125049301855238,0.14453609857386,0.128956963561939,0.119611708557249
