"","glm","cbps-just","cbps-over","ind","exp","proj"
"late-z",8706.18954402297,8568.38429111797,11589.9611483434,9739.07505827313,9923.49398861744,7740.04911960028
"late-z.se",2608.9643668881,2587.06054638447,3531.87939207498,13518.5593533821,3093.70816592338,3871.56730758213
