"","glm","cbps-just","cbps-over","ind","exp","proj"
"late-z",11673.5260286909,11700.1430754052,12766.8964937437,11432.2060246935,12108.0921906709,11176.0831517931
"late-z.se",1620.58527398885,1640.17879014911,1928.8304404026,11323.9206112214,1929.40344758134,2249.96740761648
