"","glm","cbps-just","cbps-over","ind","exp","proj"
"ate-z",8138.16747308366,8189.70771709397,8819.96873398,7774.70599401703,8217.67144174031,7784.15436791775
"ate-z.se",1134.74072711648,1150.41498672736,1362.19427278605,7709.02326366883,1375.57787682686,1604.90345699542
"att-z",10929.3547744554,10924.3854581497,11178.4893898097,9659.38675096034,10977.7460416548,10630.5858020003
"att-z.se",1629.11702253448,1719.08315180061,1850.26140730276,19612.4641190172,2102.33411120837,2629.11061043932
