"","nrep","n","dgp (1: correct, 2:misspec)","ATE-Empcov-IPS-exp","ATE-Empcov-IPS-ind","ATE-Empcov-IPS-proj","ATE-Empcov-CBPS-Just","ATE-Empcov-CBPS-over","ATE-Empcov-GLM","QTE-0.1-Empcov-IPS-exp","QTE-0.1-Empcov-IPS-ind","QTE-0.1-Empcov-IPS-proj","QTE-0.1-Empcov-CBPS-Just","QTE-0.1-Empcov-CBPS-over","QTE-0.1-Empcov-GLM","QTE-0.25-Empcov-IPS-exp","QTE-0.25-Empcov-IPS-ind","QTE-0.25-Empcov-IPS-proj","QTE-0.25-Empcov-CBPS-Just","QTE-0.25-Empcov-CBPS-over","QTE-0.25-Empcov-GLM","QTE-0.5-Empcov-IPS-exp","QTE-0.5-Empcov-IPS-ind","QTE-0.5-Empcov-IPS-proj","QTE-0.5-Empcov-CBPS-Just","QTE-0.5-Empcov-CBPS-over","QTE-0.5-Empcov-GLM","QTE-0.75-Empcov-IPS-exp","QTE-0.75-Empcov-IPS-ind","QTE-0.75-Empcov-IPS-proj","QTE-0.75-Empcov-CBPS-Just","QTE-0.75-Empcov-CBPS-over","QTE-0.75-Empcov-GLM","QTE-0.9-Empcov-IPS-exp","QTE-0.9-Empcov-IPS-ind","QTE-0.9-Empcov-IPS-proj","QTE-0.9-Empcov-CBPS-Just","QTE-0.9-Empcov-CBPS-over","QTE-0.9-Empcov-GLM","ATE-ASSD-IPS-exp","ATE-ASSD-IPS-ind","ATE-ASSD-IPS-proj","ATE-ASSD-CBPS-Just","ATE-ASSD-CBPS-over","ATE-ASSD-GLM","QTE-0.1-ASSD-IPS-exp","QTE-0.1-ASSD-IPS-ind","QTE-0.1-ASSD-IPS-proj","QTE-0.1-ASSD-CBPS-Just","QTE-0.1-ASSD-CBPS-over","QTE-0.1-ASSD-GLM","QTE-0.25-ASSD-IPS-exp","QTE-0.25-ASSD-IPS-ind","QTE-0.25-ASSD-IPS-proj","QTE-0.25-ASSD-CBPS-Just","QTE-0.25-ASSD-CBPS-over","QTE-0.25-ASSD-GLM","QTE-0.5-ASSD-IPS-exp","QTE-0.5-ASSD-IPS-ind","QTE-0.5-ASSD-IPS-proj","QTE-0.5-ASSD-CBPS-Just","QTE-0.5-ASSD-CBPS-over","QTE-0.5-ASSD-GLM","QTE-0.75-ASSD-IPS-exp","QTE-0.75-ASSD-IPS-ind","QTE-0.75-ASSD-IPS-proj","QTE-0.75-ASSD-CBPS-Just","QTE-0.75-ASSD-CBPS-over","QTE-0.75-ASSD-GLM","QTE-0.9-ASSD-IPS-exp","QTE-0.9-ASSD-IPS-ind","QTE-0.9-ASSD-IPS-proj","QTE-0.9-ASSD-CBPS-Just","QTE-0.9-ASSD-CBPS-over","QTE-0.9-ASSD-GLM"
"1",1000,200,1,0.986973947895792,0.992971887550201,0.992985971943888,0.866733466933868,0.996993987975952,0.947895791583166,0.844689378757515,0.842369477911647,0.807615230460922,0.81062124248497,0.919839679358717,0.87374749498998,0.952905811623247,0.943775100401606,0.924849699398798,0.933867735470942,0.987975951903808,0.961923847695391,0.932865731462926,0.965863453815261,0.907815631262525,0.88376753507014,0.98997995991984,0.93186372745491,0.932865731462926,0.946787148594378,0.925851703406814,0.812625250501002,0.965931863727455,0.875751503006012,0.913827655310621,0.922690763052209,0.95190380761523,0.768537074148297,0.918837675350701,0.846693386773547,81.8773493812378,162.70529156949,118.357735792431,47.0812157526267,111.918539690884,198.570557616557,37.9475980946254,38.5395238299729,38.5755370845441,44.193411142582,53.6937087822045,712.022766179022,34.3069840297664,39.3265831482531,34.4491521012739,39.1215941939797,54.3567689911003,92.9248424083748,37.4306288305654,57.5247734418923,38.1314433293065,38.9342644892792,64.6379659425731,412.272051718427,102.325585133036,185.162497966525,103.777247621016,96.4928930075472,162.536032296945,299.824225775251,254.187199381896,371.953099579862,308.235583034453,234.741299530595,334.148025673981,299.901616218653
"2",1000,200,2,0.964,0.992992992992993,0.9,0.83,0.997,0.953,0.869,0.865865865865866,0.849,0.872,0.887,0.888,0.952,0.946946946946947,0.938,0.96,0.967,0.969,0.94,0.966966966966967,0.891,0.928,0.971,0.956,0.937,0.957957957957958,0.836,0.849,0.95,0.88,0.839,0.925925925925926,0.831,0.768,0.909,0.745,79.8748956311927,155.555296777911,68.6550257629214,61.7500014336074,116.247491786987,117.169884972906,41.4690243694517,41.9842553740144,38.3056648313736,47.4155526855547,47.8890810422344,50.3234981393661,38.2405942806158,41.7531052117089,36.2766190498347,40.8381581675259,47.7123244460413,45.0026061333945,40.8892821326709,60.4045682578857,39.567114862584,41.876206402311,58.6632729149495,50.900860840798,114.816898447938,197.474263886212,94.217345310658,112.129872536144,155.812446085372,145.699536247422,263.421920116678,398.494519208003,230.918121149672,266.360077079638,345.249497742714,290.402524152618
"3",1000,500,1,0.993,1,1,0.898,0.995,0.955,0.893,0.867,0.878,0.846,0.9,0.889,0.951,0.971,0.944,0.926,0.98,0.963,0.955,0.981,0.932,0.908,0.989,0.938,0.957,0.981,0.956,0.858,0.977,0.874,0.96,0.988,0.98,0.895,0.953,0.905,109.896666390472,310.858307752809,177.906950494233,51.2670882099165,107.898006403701,61.065378150354,45.0520023708123,46.3746082469439,46.0242651922745,46.6700341535984,49.9946828853542,54.0603794068954,38.5102343421204,44.3511857936002,38.5056845014588,40.2548106552706,48.642610289374,45.9912424398839,42.1723672946163,62.8648773701827,43.4743256567355,40.9965138810773,58.9873669859166,46.6680290810781,118.327032920254,229.653269077976,125.935578438415,91.4389030007143,157.136028262355,99.0101826773698,313.601737965688,571.677392592338,398.843206992099,252.709497836547,347.392554367772,233.876864139254
"4",1000,500,2,0.968,1,0.941,0.769,0.999,0.94,0.86,0.843,0.816,0.846,0.832,0.861,0.959,0.953,0.921,0.95,0.931,0.951,0.958,0.983,0.881,0.935,0.927,0.955,0.956,0.981,0.862,0.885,0.934,0.923,0.877,0.967,0.913,0.803,0.958,0.787,109.770048568274,208.661629203447,77.9190831626677,78.4637836480068,126.708964698338,155.414989645559,42.9063549744065,44.4904622288555,39.6612881044645,42.6493211688093,43.4790838373975,44.2062311206093,39.2689002738523,43.6060198915015,37.2246692778926,39.2239640610825,43.5892650494881,40.5649736100766,42.7205700802475,63.3230260305523,41.1750288333312,41.7230632925122,55.4946795202423,46.1936079127751,128.358912771149,242.465974536686,100.936368229168,106.405802299716,157.831793752034,167.670456505733,366.197244043798,545.745678638543,272.441515157135,324.514213906486,385.117146187647,412.906680374151
"5",1000,1000,1,0.996,1,1,0.883,0.997,0.954,0.915,0.916,0.905,0.867,0.91,0.905,0.977,0.978,0.968,0.941,0.985,0.97,0.955,0.986,0.948,0.911,0.988,0.946,0.957,0.994,0.962,0.877,0.99,0.888,0.974,0.993,0.994,0.914,0.981,0.923,130.672251689286,507.29541378247,228.429723902333,54.0210621643959,110.496258211898,61.3946913695655,48.3047091725361,52.2271022086777,48.6460777767361,47.7544541824866,49.9837532701642,51.7911056129998,39.875961600441,48.1738325818502,39.8165120008991,40.6174939890016,46.7659973951125,43.9849425846376,45.1387197842935,68.0149516874076,46.4743286683199,42.6752964961099,57.9337675822364,46.4759837672723,126.040282470782,269.594286896788,136.732441796597,97.1170047315301,162.959531498429,114.034410623363,299.389279596466,693.805915311549,398.487873024057,239.388882272953,299.163593334409,212.62718112346
"6",1000,1000,2,0.918,1,0.971,0.656,0.997,0.858,0.812,0.829,0.743,0.784,0.732,0.801,0.949,0.962,0.875,0.917,0.861,0.925,0.933,0.982,0.841,0.898,0.821,0.934,0.976,0.996,0.882,0.932,0.93,0.944,0.836,0.97,0.927,0.776,0.976,0.767,145.214316484392,245.241975463571,88.0044984012949,96.9188439335737,140.103901241908,195.851194063806,43.7486633671983,46.5667902805683,40.4316327430659,42.418797642527,42.7997425817845,43.5598371865994,39.3415001765213,44.4653372556422,37.3053655910319,38.2232438575309,41.8786339186849,39.0621076396327,43.508722317415,64.2408156847168,41.831643324146,41.7174718231461,54.0383465054102,43.1463794648101,133.269631539108,258.316403323451,106.771370515288,105.102460730186,162.069449288176,142.324825614277,439.155526199796,601.119756969263,268.403976421345,303.33253626003,358.567866258496,427.39490932462
